Transaction_Key,Date_Key,Department_Key,Cost_Centre_Key,Cost_Category_Key,Vendor_Key,Budget_Amount,Actual_Amount,Headcount
46,20250901,1,6,1,5,81082,92438,482
47,20221024,2,2,1,2,79560,62809,430
48,20251204,11,3,9,5,90838,90432,13
49,20250818,4,4,1,2,184100,128683,1108
50,20251228,1,3,6,7,80364,96333,106
51,20251214,12,8,8,17,142971,133594,530
52,20251110,7,4,3,16,586098,614950,559
53,20240906,8,13,8,1,502709,577876,859
54,20240416,2,1,1,9,76493,58299,228
55,20240715,2,3,5,9,324505,355840,4
56,20220302,1,2,6,5,25964,29717,72
57,20221118,8,2,1,9,77930,58247,385
58,20240206,2,1,4,3,31346,30414,117
59,20221120,6,14,1,14,156262,228560,907
60,20240330,3,1,1,12,61794,64018,803
61,20240925,3,15,1,11,60512,52205,526
62,20220330,12,8,2,16,103055,95140,56
63,20250311,2,8,7,17,51081,53822,441
64,20230217,9,15,10,2,74874,76160,17
65,20251020,6,13,7,3,267919,316431,159
66,20250905,1,7,1,6,148024,152275,333
67,20221207,12,4,5,15,300802,234772,84
68,20230512,6,12,5,5,219957,307949,78
69,20230426,5,3,1,12,238552,325494,953
70,20251102,2,15,7,6,100866,111922,208
71,20230301,4,1,1,2,43610,51517,807
72,20240603,5,15,9,7,55807,44503,22
73,20240202,9,6,1,6,96241,105394,1080
74,20240817,6,2,5,2,94228,111655,74
75,20220228,2,9,2,13,360827,300482,41
76,20220319,1,2,1,9,92791,88070,674
77,20220109,6,13,1,6,43853,37363,354
78,20250515,11,8,9,5,52481,65738,113
79,20230126,4,6,3,6,647624,452500,663
80,20241225,1,9,3,5,74296,75574,661
81,20250531,4,13,2,17,86191,61062,33
82,20250507,9,8,4,15,74515,63759,50
83,20230707,8,12,9,8,24269,26726,87
84,20250105,10,1,5,16,286719,267230,105
85,20230406,7,12,1,5,212220,185461,127
86,20230928,2,1,1,17,183320,122676,281
87,20220516,4,15,1,5,122264,125941,1101
88,20240221,1,14,4,4,92397,112847,82
89,20251223,7,5,3,12,663223,758903,880
90,20240203,2,14,8,6,72830,70037,235
91,20250705,9,2,5,13,16588,15226,76
92,20250515,1,4,3,5,249047,299367,581
93,20230417,9,7,7,8,374997,445907,503
94,20230730,8,14,1,7,127867,115367,967
95,20230427,4,3,3,1,201029,236002,610
96,20230531,2,6,1,11,250674,313577,287
97,20220118,1,1,10,6,56894,76724,4
98,20250117,6,1,9,5,55812,54045,113
99,20240121,12,3,5,2,229547,295428,19
100,20250524,8,15,2,12,285949,266065,51
101,20220717,4,13,3,16,265936,348002,788
102,20230902,4,7,1,8,108858,103479,226
103,20230717,3,4,3,4,623665,692296,755
104,20251013,2,10,1,5,231743,182438,139
105,20250228,4,14,1,14,238003,246663,636
106,20231021,1,10,4,2,112182,106617,12
107,20230712,12,15,3,11,426244,407409,1187
108,20240720,1,1,1,5,233629,168264,734
109,20230421,4,13,3,16,689319,549560,164
110,20231118,5,5,5,16,322858,315412,87
111,20230519,3,2,1,4,256689,222766,1036
112,20220315,4,9,5,6,58749,56775,99
113,20240904,6,6,3,16,313291,374578,923
114,20230729,2,3,1,17,233708,208512,498
115,20251205,7,3,3,19,329885,243637,629
116,20220403,1,2,2,4,62782,70244,65
117,20230405,3,4,5,5,77096,69120,74
118,20240618,2,1,1,2,170078,194162,1183
119,20230712,8,8,3,18,366364,448729,236
120,20230927,4,5,3,13,541907,642351,936
121,20230319,11,6,4,4,20981,20908,79
122,20250426,11,8,2,20,251322,166881,84
123,20230212,7,1,4,12,105333,111916,12
124,20221009,4,4,2,6,34330,34190,29
125,20240306,2,8,10,15,7503,7704,73
126,20230318,4,5,1,13,55112,54496,1178
127,20230915,1,15,7,2,38707,43342,709
128,20220917,3,8,10,3,19030,19076,40
129,20231220,7,7,6,1,51822,59838,25
130,20250927,9,6,1,8,94682,106653,1134
131,20240813,11,9,4,3,58288,67875,53
132,20230309,8,4,3,15,541644,480005,463
133,20250829,4,8,1,15,235804,261556,463
134,20240910,3,4,4,5,114110,144861,113
135,20240505,8,5,1,6,56456,66145,952
136,20230905,2,1,7,5,204631,221402,236
137,20240619,12,2,2,15,375267,369573,91
138,20221122,8,5,4,20,98106,113748,74
139,20250210,1,5,1,5,279956,356976,610
140,20221109,2,11,3,10,111816,100883,1112
141,20230727,9,6,8,1,273040,290388,123
142,20231012,2,1,6,4,35967,34360,98
143,20250503,7,13,4,13,11648,13435,110
144,20240924,11,4,3,3,158800,148432,145
145,20231105,6,10,1,7,58548,45679,259
146,20241229,2,1,3,9,645508,558862,67
147,20230929,11,7,5,18,74423,81087,8
148,20251118,7,5,10,1,46771,30343,110
149,20250516,7,14,3,3,83114,105993,561
150,20250629,2,13,1,9,130478,134789,715
151,20221119,10,5,1,5,249412,300336,884
152,20241031,9,13,1,8,237354,248601,681
153,20240302,9,4,1,14,253472,269976,1190
154,20240102,4,4,3,17,479638,466832,418
155,20221018,2,1,5,12,74798,59525,21
156,20250810,10,8,4,17,115458,143032,14
157,20250822,12,12,3,15,63878,62335,833
158,20240505,3,3,1,19,181051,166855,1079
159,20231028,9,9,4,7,75890,75267,31
160,20230206,2,13,3,2,499720,553245,89
161,20250425,9,14,7,10,441725,626256,755
162,20220714,1,13,4,16,103935,112420,48
163,20250818,4,1,6,4,9089,10524,116
164,20241031,6,9,7,10,198672,180139,1107
165,20250306,7,13,9,10,21394,22314,48
166,20240128,4,9,3,19,58074,74814,1186
167,20240919,8,12,9,16,76312,63704,49
168,20250729,1,14,6,2,86755,81968,114
169,20221222,5,6,3,12,252030,0,568
170,20250907,1,2,8,8,423472,561492,975
171,20230604,9,12,1,1,136699,132358,1137
172,20230331,3,7,4,19,110856,119504,42
173,20250603,3,2,2,18,263356,190509,111
174,20240905,3,9,1,15,264193,220139,730
175,20220809,4,13,5,7,226178,203756,5
176,20230227,8,1,8,16,426079,470823,424
177,20240620,4,7,8,6,507361,492296,215
178,20220518,1,8,3,13,614954,839596,1052
179,20220618,8,12,7,2,398239,392283,103
180,20250910,3,1,1,8,168432,160214,757
181,20220804,4,4,6,8,29018,39952,14
182,20240115,8,10,1,18,271506,354419,480
183,20251130,8,13,1,1,225972,232683,1094
184,20230825,1,1,3,19,499761,429698,1033
185,20240329,2,6,1,12,242309,292817,792
186,20241204,2,2,1,4,180998,285998,26
187,20230828,3,1,8,3,444705,459548,1051
188,20221206,5,8,7,1,178374,205300,1079
189,20221204,4,2,1,18,92832,103283,341
190,20240926,3,8,1,5,252742,227416,1017
191,20230119,11,3,1,4,204843,189519,551
192,20250206,4,15,10,1,7146,8716,46
193,20230728,1,5,6,5,22900,18425,118
194,20241010,2,5,1,1,210133,204916,155
195,20220905,6,14,4,2,5899,5891,10
196,20241104,4,11,8,12,639933,917469,648
197,20240410,8,2,1,8,196488,174558,576
198,20240713,2,10,1,14,122399,171997,290
199,20230922,1,3,7,3,393372,483020,794
200,20230816,2,2,1,2,272122,289585,1069
201,20240123,3,7,2,20,153670,117387,12
202,20220827,4,13,7,7,232251,237466,373
203,20250322,5,13,3,4,515649,560075,713
204,20250224,12,6,4,10,104012,99998,15
205,20220524,11,11,1,3,230667,223613,1010
206,20230410,10,1,8,17,90554,114281,697
207,20231002,2,4,3,12,178370,203779,402
208,20230510,8,15,2,8,183312,162684,42
209,20241003,9,1,1,1,54507,81575,806
210,20240122,7,4,5,13,78436,95442,57
211,20250527,2,14,8,19,212527,239868,149
212,20240604,1,10,1,11,76127,74679,1155
213,20230601,1,7,8,8,491878,483709,982
214,20220530,2,9,3,2,441667,449439,476
215,20230629,5,5,1,12,268037,301157,825
216,20251218,2,4,1,6,268548,354028,727
217,20251110,1,13,1,11,269919,258137,327
218,20220417,4,10,5,16,172505,165021,14
219,20221226,3,9,9,19,8145,10545,59
220,20251214,2,5,3,9,344831,386748,804
221,20240209,2,3,7,7,54209,42868,562
222,20230504,8,4,3,3,528486,479406,893
223,20251231,3,11,3,2,176072,212228,758
224,20240702,3,7,1,7,148779,158052,543
225,20250412,4,13,1,4,154049,138568,706
226,20240301,2,6,5,1,207892,178115,111
227,20220223,4,10,10,5,57589,55478,115
228,20221127,1,8,5,10,118880,115607,53
229,20230511,3,7,7,10,62078,71914,117
230,20240615,8,3,2,19,80083,88752,66
231,20240531,11,9,1,14,73188,80960,184
232,20250112,5,12,2,14,140080,188642,55
233,20221217,11,2,4,1,85154,97433,1
234,20230807,5,7,5,13,257920,261588,99
235,20241129,6,3,9,14,6033,5797,85
236,20240605,9,13,2,14,160857,161286,10
237,20250920,3,9,1,7,133974,161598,652
238,20241119,4,14,3,15,371825,419630,1117
239,20241109,4,9,6,15,53611,44907,34
240,20221021,1,11,3,6,508740,304137,225
241,20220102,11,13,3,1,313003,252908,462
242,20220514,3,1,1,18,164853,156336,454
243,20221228,2,10,2,18,414474,473675,101
244,20250110,12,10,1,13,154442,150504,618
245,20230813,1,7,3,17,680953,636744,718
246,20220126,1,9,8,17,548112,462884,556
247,20230902,9,11,1,12,108200,132886,403
248,20230922,1,6,3,11,595190,756943,661
249,20230423,6,1,3,5,407550,411332,742
250,20230331,10,8,5,7,325138,438639,48
251,20230319,8,4,4,15,58164,42019,101
252,20251208,1,7,3,15,255610,252937,983
253,20230817,2,1,3,2,163357,206160,375
254,20230210,1,7,1,7,184464,203217,372
255,20250314,3,6,9,4,14303,16408,91
256,20250803,4,15,2,18,110631,132966,2
257,20230316,3,15,1,1,45302,51817,535
258,20230410,6,13,10,12,74025,60849,80
259,20250328,1,5,8,17,472621,347460,560
260,20241102,4,2,4,4,47446,56400,97
261,20251125,4,13,9,15,17222,16674,52
262,20220403,12,9,1,1,191591,179614,617
263,20251010,2,1,5,17,189756,220709,89
264,20230911,11,5,1,17,90715,105790,232
265,20220615,8,7,8,5,337578,213500,302
266,20220115,7,4,4,19,43506,47575,20
267,20230918,4,9,2,10,374685,296551,113
268,20231003,3,3,1,1,231421,209035,933
269,20230426,1,3,7,17,219686,241132,24
270,20241127,1,2,1,3,138869,181225,735
271,20240801,2,2,8,9,478838,554106,439
272,20241222,7,15,1,1,98020,108147,743
273,20230322,2,9,2,4,388286,492959,68
274,20230611,4,8,3,7,558295,646916,210
275,20241221,3,14,3,5,425644,346528,1112
276,20240611,2,11,10,8,55479,45594,34
277,20221228,9,4,6,9,75769,72209,5
278,20250110,9,1,6,10,53347,49050,22
279,20230704,2,5,3,1,243412,233478,91
280,20220811,4,15,1,17,205152,230348,1118
281,20251128,5,8,2,12,343360,433410,6
282,20230319,2,6,7,20,395751,442327,692
283,20241027,5,6,1,13,131651,133106,31
284,20240425,10,2,3,1,437682,573174,680
285,20220830,4,15,3,19,83750,81301,425
286,20250602,7,10,1,20,241021,341106,512
287,20230718,1,15,1,5,169785,108875,180
288,20250707,4,1,5,1,99319,78868,25
289,20250226,7,5,3,2,426600,538303,719
290,20250202,2,8,8,3,124259,156018,476
291,20250224,4,15,5,13,323035,436304,73
292,20221130,10,6,3,7,285900,247388,698
293,20230830,11,3,3,2,112006,109990,312
294,20220615,2,13,1,17,52535,37364,1079
295,20240501,7,5,9,15,86882,99248,51
296,20250602,1,15,3,7,79883,113314,717
297,20230530,9,2,9,5,66208,65079,84
298,20240509,6,14,9,1,63034,42983,50
299,20240913,9,12,3,3,102309,145284,213
300,20230102,2,3,7,3,72869,60010,84
301,20250616,6,1,9,14,38781,41720,52
302,20231104,4,9,1,13,126639,131711,181
303,20240809,4,6,1,2,277347,349598,867
304,20230113,9,3,3,11,639557,876290,420
305,20250805,2,3,10,7,54398,53854,108
306,20251209,1,5,7,18,64640,67209,730
307,20240211,1,9,5,1,205580,230897,71
308,20250611,2,13,3,2,287723,295788,607
309,20250528,1,2,2,12,115080,111812,110
310,20250625,9,14,3,7,580306,744516,379
311,20240530,10,2,1,10,198395,241609,781
312,20250204,5,2,3,17,685736,880359,51
313,20220422,6,13,3,1,649149,805127,1102
314,20220608,4,13,8,2,450706,505705,352
315,20231201,1,14,4,10,33058,25750,108
316,20240502,4,1,1,19,117821,114137,813
317,20240310,11,13,1,9,90143,92312,687
318,20220312,6,3,5,16,59216,58765,89
319,20251116,8,13,3,13,409942,396213,639
320,20230813,3,8,3,10,422454,367492,227
321,20250428,6,9,1,14,243293,219212,468
322,20220906,6,9,3,11,204664,188871,959
323,20250525,1,5,1,11,202595,141022,1027
324,20250601,3,12,3,18,619723,811402,795
325,20241117,5,5,6,3,33930,38711,91
326,20250907,1,1,5,17,201491,191063,116
327,20220117,8,3,5,1,105435,82645,116
328,20240616,10,1,3,16,567196,673803,318
329,20250305,12,4,2,17,357723,415648,38
330,20221021,10,2,1,14,135351,143824,320
331,20251128,12,1,1,18,177946,171355,825
332,20240530,4,15,8,6,370690,284980,659
333,20220711,5,9,10,7,37652,32104,52
334,20240607,4,5,1,5,170113,169537,983
335,20251129,2,2,6,6,55699,41778,57
336,20220331,1,6,6,13,24855,25558,1
337,20250803,9,6,9,5,45764,59888,82
338,20250520,1,2,1,12,192609,148547,620
339,20240417,9,3,3,6,566593,636137,242
340,20220424,4,12,6,18,61821,86658,72
341,20230203,2,3,4,4,54752,47230,115
342,20250704,4,13,2,16,322487,329079,101
343,20220331,4,2,6,15,37075,36166,111
344,20240307,12,4,5,6,147928,157737,104
345,20230801,4,1,1,6,272106,349983,462
346,20250725,1,8,1,2,142204,154501,551
347,20230625,7,14,5,15,162736,167398,15
348,20241029,7,5,4,17,82151,80737,29
349,20240319,11,14,3,17,414740,419706,174
350,20241110,10,13,10,3,7653,7311,10
351,20230315,5,1,1,20,263636,259742,311
352,20230831,5,4,2,5,292349,295979,110
353,20240118,5,11,10,17,26348,24795,93
354,20230706,1,2,1,6,179452,215971,595
355,20221009,1,12,10,4,59280,63328,63
356,20231119,1,3,2,20,327937,353549,28
357,20220506,1,7,8,13,619702,725156,312
358,20231218,2,8,7,7,367425,316168,914
359,20250601,1,11,1,17,98093,102524,1124
360,20230629,2,2,10,3,5587,5648,56
361,20250814,3,6,9,1,22811,18631,21
362,20250611,2,11,1,2,250468,305119,845
363,20250105,6,14,4,3,98008,96309,21
364,20240519,2,1,8,11,336440,299509,641
365,20231205,3,3,5,6,284356,318548,63
366,20250506,11,5,5,12,42256,53606,83
367,20251229,4,9,4,12,30596,38914,10
368,20240101,4,8,7,6,87147,78196,52
369,20220820,4,8,1,10,160174,184111,863
370,20251126,6,2,1,2,156644,186707,1119
371,20240704,6,9,7,6,137202,107798,753
372,20231101,4,14,1,20,66846,49609,214
373,20250510,5,13,1,1,103644,74606,230
374,20250418,4,13,5,6,176318,186942,1
375,20240301,1,14,1,5,109184,110187,227
376,20250819,12,4,6,5,50801,53729,17
377,20251111,1,3,1,18,85646,88852,584
378,20241209,5,5,1,17,216715,305500,359
379,20251102,10,4,3,13,148617,202006,817
380,20230525,1,15,3,13,254182,230432,414
381,20230207,4,12,1,4,136578,142411,228
382,20230224,1,1,3,20,443691,571431,490
383,20240711,10,10,3,15,650947,724376,167
384,20240116,6,3,8,17,485355,568621,972
385,20221214,8,12,1,4,76961,68912,598
386,20250612,9,15,1,13,147207,156571,765
387,20241231,2,13,1,19,253826,240315,614
388,20220416,2,7,3,10,268711,327491,876
389,20230511,11,2,1,20,45710,40174,590
390,20231023,8,7,2,5,152049,137339,115
391,20231015,3,13,10,12,36603,42028,36
392,20240305,9,8,7,5,332900,415941,641
393,20221023,7,6,3,14,44456,50747,43
394,20231221,8,1,8,5,534561,491170,160
395,20221023,2,9,1,1,90797,76450,434
396,20220507,11,9,6,5,45737,45652,28
397,20220922,12,12,5,14,120402,126797,34
398,20251205,3,10,8,15,123490,140151,476
399,20231222,10,4,4,5,75267,86706,67
400,20250706,3,7,5,3,301508,266607,112
401,20240403,12,3,9,13,34324,30677,111
402,20220630,9,3,3,2,141897,127367,868
403,20240211,7,13,1,9,148600,167478,705
404,20250812,10,8,6,15,72722,91070,27
405,20250418,1,14,1,12,144645,166692,515
406,20240412,2,7,3,6,39901,41602,1071
407,20250514,4,4,2,5,371284,382614,103
408,20220719,12,9,1,16,238945,271105,577
409,20220130,9,7,6,10,32950,36877,63
410,20220125,6,4,5,7,178047,201265,13
411,20220208,8,5,3,2,330381,331953,932
412,20221127,10,14,2,18,54540,62305,118
413,20250322,1,4,1,8,67731,88906,378
414,20220202,10,13,2,1,204207,194915,18
415,20230524,2,1,9,16,39983,38201,95
416,20250213,12,3,8,9,392734,347038,364
417,20230311,4,5,2,15,288023,290942,79
418,20220629,12,15,3,8,681091,963168,442
419,20230312,4,1,4,20,89448,98583,114
420,20231215,4,15,2,18,161768,135218,13
421,20240809,11,6,1,18,87051,105464,1165
422,20241021,3,14,3,4,609242,708116,1165
423,20220814,2,2,5,1,222094,260930,15
424,20241120,1,4,5,10,101838,102212,37
425,20241113,5,1,10,18,52962,41581,68
426,20230615,6,14,8,7,292975,364852,899
427,20241220,4,11,2,10,445367,554682,113
428,20220422,1,13,5,13,276707,321304,71
429,20230320,4,11,1,11,239242,305071,610
430,20230928,1,11,3,7,694177,837547,675
431,20240709,1,13,3,13,148860,189020,897
432,20250214,2,3,6,5,89593,87722,116
433,20220603,12,15,7,4,418525,392043,300
434,20220507,5,14,5,5,164715,132580,78
435,20230603,6,9,1,4,95449,104793,456
436,20221108,2,14,9,13,64227,66083,63
437,20241004,2,8,5,18,330707,362911,116
438,20241231,1,4,1,10,67230,63454,1176
439,20220404,6,6,3,8,88197,113328,775
440,20220906,4,12,2,14,108160,100396,55
441,20230205,1,10,1,13,186807,180247,21
442,20230807,7,6,6,4,64353,69131,98
443,20220624,1,9,4,17,115990,106930,97
444,20220711,9,6,1,13,69401,80844,281
445,20230218,1,14,8,12,473255,406189,1008
446,20250612,9,10,6,19,76579,84742,15
447,20220429,2,4,1,7,46931,40662,677
448,20250707,8,15,5,5,227417,227705,102
449,20221207,8,3,5,8,40063,47607,28
450,20241209,12,9,1,2,268503,303803,791
451,20230630,10,12,10,14,48007,60130,28
452,20240205,2,4,4,5,67988,70329,50
453,20250807,9,9,9,5,59698,56383,23
454,20241223,1,4,7,9,90168,103568,1187
455,20220926,8,1,7,6,273745,369346,146
456,20240524,10,7,1,5,245885,258032,616
457,20230623,11,8,1,17,230745,0,893
458,20230401,1,9,6,16,84262,68516,57
459,20240725,9,3,7,3,62931,80757,821
460,20240713,1,9,2,1,311506,272912,105
461,20220911,2,4,3,1,318791,319535,1148
462,20250612,2,4,10,6,41663,36129,18
463,20220630,1,11,1,2,187350,272815,833
464,20230712,5,5,3,3,393339,492456,393
465,20240822,3,15,9,1,87711,93449,89
466,20240315,3,12,1,10,172350,191349,1145
467,20251015,9,13,4,17,46302,39960,82
468,20240813,4,14,1,9,203868,184620,858
469,20231215,2,1,2,11,29447,0,72
470,20250312,1,9,3,13,76884,102312,355
471,20240705,1,4,8,9,33626,37402,865
472,20220109,7,2,6,11,58346,85967,13
473,20240424,4,9,3,13,360595,400279,719
474,20240128,6,3,1,19,212548,202865,494
475,20251126,10,5,8,13,609639,764326,208
476,20221016,3,4,4,4,41426,38440,100
477,20251225,6,1,5,7,297613,341632,50
478,20250123,8,4,1,7,46202,43566,757
479,20240608,1,3,2,20,404138,456739,80
480,20240228,5,1,4,5,83881,96902,116
481,20220727,9,7,1,13,197240,182025,938
482,20220302,1,7,1,1,152695,173736,967
483,20220412,2,5,2,2,202449,276442,112
484,20230324,1,1,9,13,98383,62257,68
485,20230307,11,15,10,7,31916,24093,114
486,20240214,11,9,6,8,29222,31960,101
487,20250917,6,5,8,4,276868,449692,619
488,20251111,1,1,6,14,45652,42336,74
489,20230210,3,2,1,14,237231,237771,772
490,20230820,5,14,5,6,101117,64294,4
491,20250801,2,3,1,13,263487,395096,903
492,20251128,1,6,3,8,288394,264320,865
493,20240522,10,3,3,12,646222,545328,1190
494,20230221,7,9,10,17,72151,77809,21
495,20230714,1,8,1,13,175719,198012,643
496,20221225,7,9,8,19,197139,211967,799
497,20240319,1,10,1,19,210138,198730,543
498,20250220,4,1,3,6,446898,574248,827
499,20231011,5,4,1,9,56622,62991,957
500,20231119,4,5,8,6,466234,610253,1178
501,20230501,2,13,3,7,530692,482395,401
502,20220803,10,14,8,7,500722,605157,962
503,20220701,9,4,5,5,260894,297668,98
504,20220712,2,8,2,8,71445,83487,73
505,20251210,6,1,2,14,272030,291531,100
506,20221231,9,14,10,20,47814,47674,29
507,20231028,3,8,3,5,597381,878861,1010
508,20220202,7,5,4,6,92899,101824,34
509,20250426,1,4,5,14,120257,106087,26
510,20240623,10,10,6,17,16537,20858,102
511,20250109,2,1,7,5,116536,150890,373
512,20230805,8,2,6,16,68167,56953,17
513,20240730,3,11,3,13,381994,397209,545
514,20220107,12,12,1,18,244837,226302,1065
515,20250225,4,5,1,17,88215,75266,116
516,20241027,10,8,1,15,62775,95337,376
517,20240111,6,9,7,17,455272,410050,982
518,20250330,5,8,8,2,576618,805642,865
519,20220424,5,7,5,2,310802,272313,26
520,20250307,2,8,3,13,609953,594455,340
521,20231222,10,15,3,6,262767,297423,751
522,20231118,4,7,7,1,256678,203297,366
523,20230617,3,10,3,2,587777,763282,923
524,20230102,1,5,3,4,75584,76610,524
525,20220703,9,13,1,16,190368,261470,247
526,20221015,8,8,1,12,102837,84941,538
527,20250329,4,2,3,13,577391,681225,859
528,20230106,12,1,1,14,113609,154721,403
529,20251209,5,13,4,11,53511,59707,78
530,20240401,2,13,3,10,147913,138517,692
531,20250724,7,11,1,2,255910,167715,312
532,20220204,1,2,1,11,203819,184867,1182
533,20220123,2,13,5,12,136351,149780,49
534,20250701,1,14,1,13,110063,117748,885
535,20221216,7,13,3,1,30130,25897,849
536,20221126,1,5,1,9,274166,265550,887
537,20240416,1,14,3,18,367762,441837,700
538,20251107,8,8,10,17,35265,26582,21
539,20240202,1,7,9,11,65402,63503,19
540,20230302,3,6,3,8,132124,100503,98
541,20230125,9,1,2,10,448001,404764,71
542,20250508,7,8,10,18,19530,11904,41
543,20220806,10,15,3,12,506687,525410,356
544,20230522,10,14,1,6,218079,248338,1154
545,20240710,6,5,3,19,472496,510855,707
546,20251011,12,15,1,2,247581,227970,953
547,20231125,10,14,2,17,212373,223657,36
548,20240424,9,2,5,8,290786,335602,10
549,20240808,2,8,3,1,384617,349334,833
550,20240708,2,9,8,15,425687,435404,1028
551,20251030,9,2,4,10,64033,72507,16
552,20240512,2,15,5,19,254652,270347,108
553,20250224,7,3,8,13,101854,108262,693
554,20220802,4,4,7,6,159306,171945,580
555,20251218,7,15,8,16,307270,257015,601
556,20230411,6,11,4,4,61733,53727,109
557,20231205,10,5,4,13,67802,64059,13
558,20241128,2,4,2,6,400369,492190,41
559,20220502,1,5,1,10,114676,133748,832
560,20220827,7,6,1,19,189069,216692,507
561,20240208,1,3,4,9,38878,30567,40
562,20230114,2,14,4,12,72839,63798,63
563,20240116,9,12,1,4,185920,180399,871
564,20230915,5,9,7,16,316918,301159,146
565,20231027,6,1,2,4,182262,209367,71
566,20250303,4,1,7,19,151841,156939,505
567,20250213,1,8,3,12,552827,532965,839
568,20250122,6,2,3,2,366076,386052,308
569,20230924,1,7,3,17,30466,28081,1106
570,20230411,8,15,1,1,134453,125650,1128
571,20231107,3,15,1,5,53938,66101,590
572,20231109,2,1,1,15,276352,196910,866
573,20241224,1,13,7,9,308068,301010,796
574,20220324,9,6,3,5,631796,690920,834
575,20221021,11,15,2,6,78515,65427,3
576,20250731,4,9,1,12,88881,120581,275
577,20241206,1,12,1,1,78271,93275,224
578,20220912,8,1,9,12,27816,20931,70
579,20250929,10,14,1,5,274994,229408,696
580,20250302,12,2,1,6,169957,131988,1005
581,20240627,2,15,3,2,590339,489917,653
582,20221208,8,7,3,3,687193,815770,152
583,20230630,4,4,1,2,51555,71444,362
584,20231025,11,5,9,2,10009,12229,28
585,20220821,7,9,6,5,39357,49905,69
586,20221207,4,12,5,12,202271,234259,75
587,20240210,3,1,8,15,533064,409655,42
588,20250619,2,9,1,13,171588,178409,811
589,20240815,9,11,1,2,179009,216098,1124
590,20240329,2,2,1,16,161676,186717,134
591,20250608,5,7,3,11,375402,368352,1023
592,20240229,10,4,9,4,87487,77182,58
593,20220722,3,1,8,10,383193,271249,835
594,20230309,3,9,1,2,164149,121396,367
595,20221202,9,2,1,16,54101,77870,333
596,20240126,6,9,3,6,216346,333810,1174
597,20231122,3,15,1,17,135769,195035,1016
598,20230624,12,7,5,6,54607,40879,6
599,20240523,9,4,7,7,474009,535795,158
600,20250801,10,11,9,1,63626,73258,63
601,20240519,4,8,4,12,12089,13994,109
602,20231211,2,9,2,11,356928,378372,104
603,20220809,8,3,1,19,162969,128380,556
604,20230512,7,15,3,12,328813,322231,1149
605,20240827,10,5,1,1,253890,256875,214
606,20230307,4,10,3,5,85949,96975,581
607,20230101,1,4,10,20,14457,16730,100
608,20241223,10,5,7,4,345551,368429,604
609,20221012,11,2,8,15,276677,253752,234
610,20250123,4,14,7,6,119877,139975,333
611,20240731,10,7,6,5,25755,26220,95
612,20241007,3,2,6,10,70052,67638,96
613,20250615,2,12,4,1,18270,19311,2
614,20230611,4,4,1,19,57626,64199,559
615,20220615,1,2,2,6,323357,365703,46
616,20240514,2,5,7,9,238508,280622,1166
617,20250619,1,11,2,2,99870,110445,114
618,20220719,2,4,3,20,73255,76153,553
619,20230706,1,11,10,5,68576,73553,113
620,20250130,1,11,9,3,5076,4770,30
621,20221230,2,5,10,6,5549,4171,23
622,20240312,9,14,3,19,683168,704519,939
623,20240613,12,10,4,8,45244,46940,31
624,20251014,10,7,6,4,65543,45360,59
625,20230503,12,1,4,8,98139,111617,49
626,20230918,10,12,5,3,329841,344286,72
627,20250318,8,14,9,19,62835,68355,53
